Type = Reachback Firefly,Function = Reachback Firefly (ln/e^),Refract = 0.05,Epsilon = 0.002,Start_phase = 116
Timestamp,Phase,Offset,Ping?
1596173751.8255873,264.59996223449707,0,0,42
1596173751.8355873,266.402063369751,0,0,42
1596173751.8455873,268.20176124572754,0,0,42
1596173751.8555872,270.00308990478516,0,0,42
1596173751.8655872,271.8015432357788,0,0,42
1596173751.8755872,273.6001253128052,0,0,42
1596173751.8855872,275.40016651153564,0,0,42
1596173751.8955872,277.2027397155762,0,0,42
1596173751.9055872,279.0007209777832,0,0,42
1596173751.9155872,280.8011054992676,0,0,42
1596173751.9255872,282.6021337509155,0,0,42
1596173751.9355872,284.4004154205322,0,0,42
1596173751.9455872,286.2021732330322,0,0,42
1596173751.9555871,288.0005407333374,0,0,42
1596173751.9655871,289.8004102706909,0,0,42
1596173751.9755871,291.6016960144043,0,0,42
1596173751.9855871,293.40182304382324,0,0,42
1596173751.995587,295.2016496658325,0,0,42
1596173752.005587,297.00018882751465,0,0,42
1596173752.015587,298.79971504211426,0,0,42
1596173752.025587,300.60168743133545,0,0,42
1596173752.035587,302.4020290374756,0,0,42
1596173752.045587,304.203143119812,0,0,42
1596173752.055587,306.0031843185425,0,0,42
1596173752.065587,307.80009269714355,0,0,42
1596173752.075587,309.6013355255127,0,0,42
1596173752.085587,311.4007759094238,0,0,42
1596173752.095587,313.2011604309082,0,0,42
1596173752.105587,315.00231742858887,0,0,42
1596173752.115587,316.80270195007324,0,0,42
1596173752.125587,318.60008239746094,0,0,42
1596173752.135587,320.4018831253052,0,0,42
1596173752.145587,322.20123767852783,0,0,42
1596173752.155587,324.00012016296387,0,0,42
1596173752.165587,325.80084800720215,0,0,42
1596173752.175587,327.6020908355713,0,0,42
1596173752.185587,329.40281867980957,0,0,42
1596173752.195587,331.1999845504761,0,0,42
