Time Stamp,Phase Value,Heading,Ping?
1596210331.5764143,215.2161707635969,291.4639057870954,0
1596210331.5864034,217.01410911045969,291.4639057870954,0
1596210331.596394,218.81247661076486,291.4639057870954,0
1596210331.6064003,220.6135906931013,291.4639057870954,0
1596210331.6164095,222.41530559025705,291.4639057870954,0
1596210331.626414,224.21603343449533,291.4639057870954,0
1596210331.6364076,226.01487300358713,291.4639057870954,0
1596210331.646413,227.81590125523508,291.4639057870954,0
1596210331.6564,229.61349627934396,291.4639057870954,0
1596210331.666398,231.41310832463205,291.4639057870954,0
1596210331.676406,233.21460864506662,291.4639057870954,0
1596210331.686413,235.01580855809152,291.4639057870954,0
1596210331.6964123,236.8157639261335,291.4639057870954,0
1596210331.7064059,238.61451766453683,291.4639057870954,0
1596210331.7164037,240.4142155405134,291.4639057870954,0
1596210331.7264068,242.21477172337472,291.4639057870954,0
1596210331.7363973,244.01305339299142,291.4639057870954,0
1596210331.7463987,245.81330916844308,291.4639057870954,0
1596210331.7564046,247.61438033543527,291.4639057870954,0
1596210331.7663946,249.41253325901926,291.4639057870954,0
1596210331.7764096,251.21527812443674,291.4639057870954,0
1596210331.7863944,253.01248691044748,291.4639057870954,0
1596210331.7964036,254.81420180760324,291.4639057870954,0
1596210331.80641,256.61531588993967,291.4639057870954,0
1596210331.8164043,258.4143271204084,291.4639057870954,0
1596210331.8264043,260.21423957310617,291.4639057870954,0
1596210331.8363996,262.0134224649519,291.4639057870954,0
1596210331.8464036,263.8141932245344,291.4639057870954,0
1596210331.8563964,265.6129469629377,291.4639057870954,0
1596210331.8663986,267.4132027383894,291.4639057870954,0
1596210331.876398,269.21315810643137,291.4639057870954,0
1596210331.886409,271.0151734109968,291.4639057870954,0
1596210331.8963945,272.812468027696,291.4639057870954,0
1596210331.9064045,274.6143545862287,291.4639057870954,0
1596210331.9164002,276.41353747807443,291.4639057870954,0
1596210331.9263997,278.21353576146066,291.4639057870954,0
1596210331.9364023,280.0139631982893,291.4639057870954,0
1596210331.9464095,281.8152918573469,291.4639057870954,0
1596210331.9564064,283.61464641056955,291.4639057870954,0
1596210331.9664044,285.4143013712019,291.4639057870954,0
1596210331.9764087,287.21511504612863,291.4639057870954,0
1596210331.986395,289.01262423954904,291.4639057870954,0
1596210331.9964032,290.8140816446394,291.4639057870954,0
1596210332.0063965,292.61292121373117,291.4639057870954,0
1596210332.0163941,294.4125761743635,291.4639057870954,0
1596210332.026411,296.21553561650217,291.4639057870954,0
1596210332.0364087,298.0150618311018,291.4639057870954,0
1596210332.0464122,299.8157467599958,291.4639057870954,0
1596210332.0563996,301.61351344548166,291.4639057870954,0
1596210332.0664105,303.4154429193586,291.4639057870954,0
1596210332.076396,305.2128233667463,291.4639057870954,0
1596210332.086402,307.01393744908273,291.4639057870954,0
1596210332.096404,308.81427905522287,291.4639057870954,0
1596210332.1063962,310.612818216905,291.4639057870954,0
1596210332.116408,312.41496226750314,291.4639057870954,0
1596210332.1264007,314.2136730905622,291.4639057870954,0
1596210332.1364079,316.01491591893137,291.4639057870954,0
1596210332.1464062,317.81465671025217,291.4639057870954,0
1596210332.1564074,319.6148695703596,291.4639057870954,0
1596210332.166396,321.41276500187814,291.4639057870954,0
1596210332.176407,323.2148232217878,291.4639057870954,0
1596210332.186413,325.01589438878,291.4639057870954,0
1596210332.1964111,326.8155493494123,291.4639057870954,0
1596210332.2064018,328.61387393437326,291.4639057870954,0
1596210332.216395,330.4126276727766,291.4639057870954,0
1596210332.2264006,332.2136130090803,291.4639057870954,0
1596210332.2364113,334.0155853983015,291.4639057870954,0
1596210332.2464108,335.8155407663435,291.4639057870954,0
1596210332.2564068,337.6147665735334,291.4639057870954,0
1596210332.2664056,339.41455028019845,291.4639057870954,0
1596210332.2763987,341.21326110325754,291.4639057870954,0
1596210332.2864048,343.01437518559396,291.4639057870954,0
1596210332.2963986,344.81330058537424,291.4639057870954,0
1596210332.306407,346.61475799046457,291.4639057870954,0
1596210332.316409,348.41514251194894,291.4639057870954,0
1596210332.3263993,350.21333835087717,291.4639057870954,0
1596210332.3363996,352.0134224649519,291.4639057870954,0
1596210332.3464015,353.8138499017805,291.4639057870954,0
1596210332.3563998,355.6135048624128,291.4639057870954,0
1596210332.3663962,357.4128165002912,291.4639057870954,0
1596210332.376402,359.2138447519392,291.4639057870954,0
1596210332.3808632,360,291.4639057870954,1
1596210332.380866,0,291.4639057870954,0
1596210332.3907912,1.8038716074079275,291.4639057870954,0
1596210332.3919396,1.9929136987775564,291.4639057870954,0
1596210332.3919787,1.9929136987775564,289.96922051301226,0
1596210332.4007745,2.1062234579585493,289.96922051301226,0
1596210332.4107797,3.90720879426226,289.96922051301226,0
1596210332.42078,5.707292908336967,289.96922051301226,0
1596210332.430779,7.507033699657768,289.96922051301226,0
1596210332.4407873,9.308534020092338,289.96922051301226,0
1596210332.450781,11.107459419872612,289.96922051301226,0
1596210332.4607732,12.905955666210502,289.96922051301226,0
1596210332.4707873,14.708571785595268,289.96922051301226,0
1596210332.4807713,16.505651825573295,289.96922051301226,0
1596210332.4907892,18.30882584443316,289.96922051301226,0
1596210332.5007756,20.106463783886284,289.96922051301226,0
1596210332.5107875,21.908607834484428,289.96922051301226,0
1596210332.5207758,23.706417435314506,289.96922051301226,0
1596210332.530788,25.50856148591265,289.96922051301226,0
1596210332.540781,27.307443970348686,289.96922051301226,0
1596210332.5507717,29.105768555309623,289.96922051301226,0
1596210332.5607903,30.9090713202022,289.96922051301226,0
1596210332.5707705,32.70555054536089,289.96922051301226,0
1596210332.5807858,34.508252495434135,289.96922051301226,0
1596210332.590777,36.30666291108355,289.96922051301226,0
1596210332.6007764,38.1065753637813,289.96922051301226,0
1596210332.6107802,39.907260292675346,289.96922051301226,0
1596210332.6207755,41.70640026917681,289.96922051301226,0
1596210332.630785,43.50815808167681,289.96922051301226,0
1596210332.6407733,45.306053513195366,289.96922051301226,0
1596210332.6507707,47.10562264313921,289.96922051301226,0
1596210332.66078,48.9072517096065,289.96922051301226,0
1596210332.670772,50.70579087128863,289.96922051301226,0
1596210332.6807876,52.508578652050346,289.96922051301226,0
1596210332.6907744,54.30621659150347,289.96922051301226,0
1596210332.700784,56.10793148865923,289.96922051301226,0
1596210332.7107718,57.90574108948931,289.96922051301226,0
1596210332.7207801,59.70724140992388,289.96922051301226,0
1596210332.7307866,61.508398407604545,289.96922051301226,0
1596210332.7407818,63.30749546876177,289.96922051301226,0
1596210332.750786,65.10830914368853,289.96922051301226,0
1596210332.7607887,66.90882241120562,289.96922051301226,0
1596210332.770782,68.7075332342647,289.96922051301226,0
1596210332.7807746,70.50632988801226,289.96922051301226,0
1596210332.7907794,72.30714356293902,289.96922051301226,0
1596210332.80079,74.10903012147173,289.96922051301226,0
1596210332.8107855,75.9081700979732,289.96922051301226,0
1596210332.8207705,77.7055505453609,289.96922051301226,0
1596210332.8307836,79.50790917268023,289.96922051301226,0
1596210332.8407786,81.30692040314898,289.96922051301226,0
1596210332.8507786,83.10696160187945,289.96922051301226,0
1596210332.860785,84.90811859956011,289.96922051301226,0
1596210332.8707862,86.70841729035601,289.96922051301226,0
1596210332.8807714,88.50571190705523,289.96922051301226,0
1596210332.8907795,90.30712639680132,289.96922051301226,0
1596210332.9007764,92.10665261140093,289.96922051301226,0
1596210332.910787,93.90845333924517,289.96922051301226,0
1596210332.9207716,95.70574795594439,289.96922051301226,0
1596210332.930785,97.50810658326373,289.96922051301226,0
1596210332.9407723,99.30583035340533,289.96922051301226,0
1596210332.950778,101.10681568970904,289.96922051301226,0
1596210332.96079,102.90904557099566,289.96922051301226,0
1596210332.9707801,104.70728432526812,289.96922051301226,0
1596210332.9807723,106.50582348695025,289.96922051301226,0
1596210332.99079,108.30899750581011,289.96922051301226,0
1596210333.0007763,110.10654961457476,289.96922051301226,0
1596210333.0107703,111.90551792969927,289.96922051301226,0
1596210333.0207705,113.70560204377398,289.96922051301226,0
1596210333.0307884,115.50877606263384,289.96922051301226,0
1596210333.0407832,117.30783020844683,289.96922051301226,0
1596210333.0507858,119.10834347596392,289.96922051301226,0
